Country,ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
China,CHN,68.1547,68.6099,69.0587,69.4924,69.8355,70.3631,70.8225,71.2271,71.6014,71.9519,72.2885,72.6755,73.0339,73.3853,73.7274,74.085,74.4037,74.7886,74.8333,75.3174,75.6679,75.8891,76.2,76.4521,76.7143,76.9755,77.214,77.2353,77.709,77.9396,78.0191,78.1166,78.2021,77.9529,78.0171
"China, Hong Kong SAR",HKG,77.4481,77.6926,77.9881,78.3271,78.7177,79.1059,79.4544,79.7316,80.0723,80.389,80.7045,80.992,81.18,81.1422,81.4549,81.6752,81.9469,82.1438,82.3403,82.5863,82.8592,83.1597,83.4158,83.6955,83.9271,84.147,84.3803,84.6625,84.9866,85.2632,84.7073,85.0816,83.4853,85.5106,85.6338
"China, Macao SAR",MAC,76.5717,76.6378,77.0697,77.4706,77.4279,77.8464,77.4285,78.4397,78.7453,79.1251,79.4292,79.8122,80.098,80.2148,80.4057,80.5223,80.7101,80.9322,81.1622,81.4926,81.6635,81.9924,82.2557,82.4764,82.6955,82.9402,83.0197,83.0779,83.3959,83.2927,84.61,83.8179,82.1025,83.0749,83.2284
"China, Taiwan Province of China",TWN,73.9362,74.287,74.3047,74.5644,74.7036,74.6174,74.9181,75.3222,75.4752,75.6198,76.1389,76.4775,76.8708,77.0431,77.1732,77.133,77.8448,78.0458,78.2979,78.7005,79.0363,78.8804,79.1791,79.5976,79.4726,79.8786,79.6996,80.061,80.4312,80.5958,81.1067,80.7847,80.1569,80.5588,80.7498
Colombia,COL,68.7008,68.7719,68.7643,69.0831,69.4223,69.8096,70.2085,70.632,70.9236,70.9131,70.905,71.1853,71.5366,72.3086,72.7605,73.1557,73.4974,73.7509,74.2057,74.5306,74.8757,75.1803,75.6106,75.8343,75.9497,76.0665,76.2285,76.4178,76.5791,76.7927,74.7565,72.6983,76.5081,77.7246,77.9134
Comoros,COM,55.6196,56.1042,56.5762,57.0256,57.4582,57.8299,58.1506,58.2281,58.3008,58.8533,58.9407,59.5867,59.7228,60.2402,60.5567,60.8827,61.2291,61.4753,61.9548,62.3017,62.7473,63.1048,63.4626,63.8388,64.1427,64.4727,64.7916,65.1272,65.4009,65.6622,65.7559,65.2009,66.4806,66.7768,67.0234
Congo,COG,57.0703,56.7645,56.4826,56.0414,55.6414,55.4737,55.2403,48.5746,52.5509,54.4272,55.3706,55.8849,56.414,57.1313,57.9574,58.7302,59.474,60.0502,60.7903,61.2148,61.7311,62.2862,62.6616,62.9689,63.3491,63.6622,63.9108,64.2028,64.472,63.1523,64.3907,64.1918,65.0003,65.772,66.0014
"Congo, Dem. Rep.",COD,48.538,48.944,49.323,49.621,49.88,50.381,49.376,50.461,49.664,50.089,51.887,52.205,52.371,52.952,53.534,54.001,54.498,54.954,55.388,55.798,56.411,56.911,57.35,57.795,58.236,58.658,59.081,59.495,59.926,60.242,60.428,60.044,60.979,61.895,
"Congo, Rep.",COG,57.07,56.764,56.483,56.041,55.641,55.474,55.24,48.575,52.551,54.427,55.371,55.885,56.414,57.131,57.957,58.73,59.474,60.05,60.79,61.215,61.731,62.286,62.662,62.969,63.349,63.662,63.911,64.203,64.472,63.152,64.391,64.192,65.0,65.772,
Cook Islands,COK,66.4915,67.7135,67.8393,67.9969,68.2004,68.4562,68.7393,66.3964,69.3244,69.585,69.8493,70.0852,70.3447,70.5785,70.874,71.1716,71.4493,71.7777,72.12,72.439,72.7522,73.0452,73.3241,73.6124,73.8314,74.0178,74.1646,74.3162,74.4407,74.5561,74.5139,74.5833,75.0787,75.2818,75.4715
Costa Rica,CRI,76.0936,76.2375,76.3849,76.3153,76.3287,76.44,76.4276,76.6035,76.8686,77.0581,77.3175,77.609,77.9394,78.2142,78.5116,78.8766,79.049,79.0981,79.1802,79.3718,79.354,79.624,79.925,80.1892,80.2313,80.4069,79.9879,79.9944,80.0896,80.2963,79.7252,78.0501,79.3164,80.7995,80.9964
Cote d'Ivoire,CIV,52.796,52.621,52.429,52.247,52.005,51.713,51.596,51.498,51.22,51.273,51.393,51.428,51.544,51.443,51.939,52.432,52.885,53.452,54.179,54.744,55.282,55.972,56.57,57.057,57.772,58.281,58.814,59.315,59.795,60.274,60.14,60.29,61.562,61.944,
Croatia,HRV,72.2429,71.3799329268293,71.7206,72.3053,72.6142,72.5612,72.9752,72.9898,73.1929,73.6092,73.4046024390244,74.3547,74.6461,74.7093,75.2665,75.5705,75.6767,75.886,76.0009,76.3127,76.6761,76.9926,77.2841,77.51,77.5144,77.6329,77.6294,77.7264,77.8654,78.197,77.4972,77.1412,78.2779,78.5803,78.7509
Cuba,CUB,73.8228,73.7566,73.8464,73.8735,74.0922,74.3461,74.6904,75.0636,75.4123,75.7191,75.9224,76.4287,76.7655,77.4048,77.3261,77.5401,77.4055,77.5503,77.5891,77.5835,77.8757,78.0506,78.1618,78.0279,77.8245,77.7453,77.5706,77.3003,77.4259,77.4133,77.4075,73.2006,77.6291,78.0855,78.264
Curacao,CUW,72.439,72.536,72.65,72.703,72.791,72.831,72.945,73.035,73.084,73.174,73.283,73.36,73.472,73.603,73.735,73.873,73.978,74.137,74.314,74.485,75.117,75.576,75.96,76.239,76.384,76.482,76.322,76.423,76.493,76.492,76.501,75.686,76.729,76.8,
Curaçao,CUW,72.4386,72.5356,72.65,72.7027,72.7911,72.8305,72.9449,73.0349,73.0839,73.174,73.2829,73.3602,73.4722,73.6031,73.7354,73.8731,73.9777,74.1368,74.3137,74.4853,75.1167,75.5757,75.9604,76.2386,76.3837,76.4823,76.3222,76.4226,76.4929,76.4917,76.5011,75.6857,76.7287,76.7996,76.9889
Cyprus,CYP,76.0442,76.2464,76.2908,76.2943,76.3831,76.5828,76.8797,77.1187,77.1641,77.5715,77.9,78.1848,78.7582,78.9081,79.0067,79.1975,79.4561,79.7982,79.9063,80.3749,80.6325,80.8546,81.1284,81.3165,81.3373,81.4637,81.5341,81.5431,81.5558,81.4543,81.2302,80.5735,80.4337,81.648,81.8206
Czechia,CZE,71.4086,71.9699,72.3298,72.8528,73.0817,73.1772,73.8344,73.946,74.5527,74.7414,74.9781,75.3141,75.4424,75.3959,75.9416,76.1561,76.708,76.9189,77.1722,77.2578,77.5677,77.8144,77.9977,78.169,78.7439,78.5609,78.9744,78.926,78.9612,79.1853,78.237,77.2342,79.1648,79.8341,79.9702
Côte d'Ivoire,CIV,52.7959,52.6211,52.4291,52.2468,52.0052,51.7133,51.5961,51.4983,51.22,51.2728,51.3927,51.4284,51.5441,51.4432,51.9392,52.4324,52.8853,53.4517,54.1794,54.7441,55.282,55.9724,56.5698,57.0571,57.7719,58.2807,58.8136,59.3151,59.7946,60.2741,60.1397,60.2897,61.5622,61.9438,62.1102
Dem. People's Rep. of Korea,PRK,70.4835,70.7174,71.0092,70.7937,70.4716,60.766,60.8204,60.8694,60.887,60.9098,60.9111,60.8926,60.8772,69.3986,69.2942,69.1675,69.0615,69.0211,69.3032,69.7023,70.2456,70.7724,71.3171,71.8667,72.4508,72.8253,72.9708,73.0344,73.0196,72.9282,72.7826,73.4366,73.6411,73.6418,73.7428
Dem. Rep. of the Congo,COD,48.5381,48.9442,49.3232,49.6213,49.8795,50.381,49.3762,50.4609,49.6637,50.0888,51.8871,52.2054,52.3712,52.9519,53.5341,54.0014,54.4977,54.9543,55.3884,55.7981,56.4111,56.9106,57.3502,57.7953,58.2355,58.6576,59.0814,59.4952,59.9265,60.2425,60.4283,60.0444,60.9789,61.895,62.0741
Denmark,DNK,74.8655,75.2271,75.2686,75.1891,75.4408,75.287,75.6636,76.0409,76.4357,76.5777,76.8152,76.9736,77.0989,77.4012,77.7853,78.2259,78.2234,78.3494,78.7144,78.9574,79.2473,79.786,80.0822,80.3063,80.6319,80.7394,80.8814,81.1116,80.9909,81.4343,81.5458,81.4363,81.2906,81.9328,82.0938
Djibouti,DJI,55.4689,55.1935,54.3753,55.734,55.5916,56.234,56.3297,56.207,56.4263,56.5638,56.7341,57.5059,57.8239,58.0406,58.1033,58.5483,58.9617,59.3617,59.815,60.3511,60.7431,61.3373,61.7188,62.1162,62.4274,62.8326,63.335,63.71,64.1051,64.3809,64.2001,63.8301,65.5402,65.9865,66.2022
Dominica,DMA,70.4712,70.3977,70.4726,70.6121,70.7766,70.8316,71.0394,71.1955,71.3524,71.5274,71.7154,71.8624,71.9275,71.9423,71.9865,72.0161,72.0071,71.9008,71.9446,71.8353,71.6797,71.5167,71.3909,71.2283,71.1892,69.9683,71.1889,68.6199,71.3779,71.3052,71.2693,69.8318,71.0806,71.1325,71.294
Dominican Republic,DOM,67.7459,68.1543,68.5251,68.8601,69.1597,69.3937,69.5951,69.8089,69.8754,70.1781,70.3647,70.5531,70.7193,70.8562,70.7303,71.0435,71.0542,71.0973,71.3307,71.5866,72.0393,72.4958,72.8165,73.0383,73.1449,72.9821,72.8894,73.3702,73.5553,73.1119,72.6358,71.7575,74.2108,73.7201,73.8676
Ecuador,ECU,68.445,69.0402,69.4678,70.0695,70.8759,71.3485,71.8201,72.007,71.9493,71.9198,72.0896,72.5709,73.1643,73.632,73.8676,73.9092,74.0104,74.2259,74.7085,74.9011,75.1876,75.1794,75.4857,75.8322,76.1409,76.2219,76.0942,76.2197,77.2484,77.2862,72.0036,72.7465,76.5767,77.3924,77.5789
Egypt,EGY,62.5132,63.0594,63.5852,64.1471,64.6632,65.2143,65.7334,66.2066,66.6355,67.0104,67.3323,67.6118,67.8456,68.0451,68.211,68.3552,68.4929,68.6266,68.7613,68.915,69.0782,69.2322,69.4643,69.6317,69.9112,70.1346,70.4367,70.7086,70.9741,71.2128,69.7897,68.9759,71.0097,71.6335,71.8058
"Egypt, Arab Rep.",EGY,62.513,63.059,63.585,64.147,64.663,65.214,65.733,66.207,66.635,67.01,67.332,67.612,67.846,68.045,68.211,68.355,68.493,68.627,68.761,68.915,69.078,69.232,69.464,69.632,69.911,70.135,70.437,70.709,70.974,71.213,69.79,68.976,71.01,71.633,
El Salvador,SLV,61.981,62.5423,62.9439,63.9976,64.47,64.9031,65.4804,66.2484,66.6548,67.2851,67.7114,67.9645,68.5264,68.7918,69.2948,69.3356,69.6123,69.8195,70.1378,70.3586,70.9088,71.1918,71.4201,71.2251,71.1442,70.9524,70.9081,71.0074,71.3836,71.7253,70.2436,69.9414,71.9695,72.0993,72.3018
Equatorial Guinea,GNQ,51.3965,51.4971,51.5792,51.6713,51.7851,51.9261,52.1227,52.3648,52.6464,53.0013,53.3952,53.8271,54.3235,54.7913,55.3066,55.7659,56.3538,56.857,57.3841,57.881,58.3445,58.8268,59.3011,59.784,60.2279,60.6347,61.081,61.4808,61.9151,62.2965,62.1408,62.4468,63.3545,63.7071,63.9064
