Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Advanced economies,13.6,11.1,8.4,6.1,6.5,5.5,2.9,3.2,3.6,4.7,4.9,4.7,3.6,3.2,2.7,2.6,2.5,2.1,1.6,1.4,2.3,2.2,1.6,1.9,2.0,2.3,2.4,2.2,3.4,0.2,1.6,2.7,2.0,1.4,1.4,0.3,0.7,1.7,2.0,1.4,0.7,3.1,7.3,4.6,2.6,2.5,2.2,2.0,2.1,2.1,2.1
Emerging and Developing Asia,21.079393939393935,11.5,8.6,9.1,9.3,9.4,11.6,11.7,15.3,11.5,8.2,10.3,8.4,10.0,14.2,11.8,8.2,4.7,10.5,3.4,2.1,3.0,2.6,3.0,4.3,3.8,4.6,5.3,7.8,2.8,5.1,6.3,4.6,4.6,3.4,2.7,2.8,2.4,2.7,3.3,3.2,2.3,3.9,2.4,2.0,1.7,2.0,2.4,2.6,2.7,2.7
Emerging and Developing Europe,28.9,17.0,36.4,17.0,32.2,17.9,16.1,20.1,39.7,69.0,131.8,89.1,652.3,527.4,226.4,135.4,51.3,40.2,35.6,56.0,28.7,24.8,17.4,12.7,9.2,9.8,8.1,8.1,12.3,8.9,6.6,7.9,6.2,5.5,6.6,10.8,5.6,5.6,6.3,6.5,5.1,9.0,25.2,17.1,16.8,13.5,8.7,6.6,6.2,6.2,6.2
Emerging market and developing economies,26.6,23.5,27.1,30.1,32.4,33.3,31.8,40.8,57.3,65.5,78.9,44.6,121.8,122.5,90.7,40.8,21.1,13.8,13.8,13.7,9.1,8.3,6.8,6.6,6.1,6.0,5.8,6.4,9.4,5.1,5.6,7.1,5.8,5.4,4.7,4.7,4.2,4.4,4.9,5.1,5.2,5.8,9.5,8.0,7.7,5.5,4.6,4.1,4.0,3.9,3.8
Euro area,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,4.1,3.6,3.2,2.7,2.4,2.0,1.6,1.1,1.1,2.1,2.3,2.3,2.1,2.1,2.2,2.2,2.1,3.3,0.3,1.6,2.7,2.5,1.4,0.4,0.2,0.2,1.5,1.8,1.2,0.3,2.6,8.4,5.4,2.4,2.1,1.9,2.0,2.0,2.0,2.0
European Union,11.9,12.1,14.6,9.2,9.9,6.2,4.1,4.0,5.9,15.5,30.2,14.8,11.4,11.8,8.4,5.5,5.4,12.6,3.4,2.5,3.6,3.4,2.8,2.4,2.5,2.4,2.3,2.4,3.7,0.8,1.8,2.8,2.6,1.4,0.4,0.1,0.1,1.6,1.9,1.4,0.7,2.9,9.3,6.3,2.6,2.4,2.1,2.2,2.1,2.1,2.1
Latin America and the Caribbean,49.9,51.5,63.4,92.7,97.3,113.3,93.6,134.5,235.1,295.7,416.6,130.9,174.4,243.9,249.4,40.2,21.1,12.8,9.8,10.0,8.9,6.9,6.4,9.0,6.1,5.4,4.2,4.2,6.5,4.6,4.2,5.1,4.6,4.5,4.8,5.3,5.4,6.3,6.7,7.6,6.5,9.9,14.2,14.8,16.6,7.2,4.8,3.9,3.6,3.6,3.6
Major advanced economies (G7),12.4,10.3,7.4,4.8,4.6,3.9,2.1,2.8,3.2,4.4,4.4,4.4,3.2,2.9,2.2,2.3,2.2,1.9,1.2,1.4,2.1,1.9,1.3,1.8,2.0,2.3,2.3,2.2,3.2,-0.1,1.4,2.6,1.9,1.3,1.5,0.3,0.8,1.8,2.1,1.5,0.8,3.3,7.3,4.7,2.7,2.6,2.2,2.1,2.1,2.1,2.1
Middle East and Central Asia,11.9,11.2,9.6,9.0,7.7,7.1,12.9,17.6,13.2,11.0,7.4,14.6,18.7,42.4,41.5,27.5,14.2,8.9,6.8,5.8,3.9,4.0,5.0,5.2,6.1,6.9,7.8,10.0,12.4,7.1,6.8,9.8,9.2,8.6,6.6,5.4,5.3,7.0,9.6,7.4,10.3,11.9,13.4,15.5,14.4,11.1,9.9,8.3,7.1,6.3,6.1
Other advanced economies,25.6,15.9,13.1,11.8,18.2,15.9,5.9,5.3,5.7,6.1,7.0,6.3,3.9,3.7,3.9,4.0,3.6,2.8,3.1,0.9,2.1,2.5,1.7,1.7,1.9,2.1,2.1,2.0,4.3,1.4,2.2,3.0,2.0,1.5,1.4,0.6,0.9,1.5,1.6,1.1,0.5,2.4,5.7,4.3,2.3,1.9,2.0,1.9,2.0,2.0,1.9
Sub-Saharan Africa,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,42.6,18.0,10.0,14.7,18.1,15.1,11.2,11.8,9.6,9.5,7.6,5.4,12.9,9.7,7.9,9.5,8.9,6.5,6.2,6.5,9.9,10.5,8.4,8.7,11.2,11.6,15.2,17.6,18.3,13.3,12.9,8.5,8.3,7.2,6.7
World,17.3,15.0,14.3,13.4,14.0,13.7,11.7,14.5,19.1,22.0,25.4,16.9,39.3,39.8,30.8,16.2,9.5,6.6,6.3,6.2,5.0,4.6,3.7,3.9,3.8,3.9,3.9,4.1,6.3,2.6,3.6,4.9,4.0,3.5,3.2,2.7,2.7,3.2,3.6,3.5,3.3,4.7,8.6,6.6,5.7,4.3,3.6,3.3,3.2,3.2,3.2
Israel,316.6,116.8,120.4,145.6,373.8,304.6,48.2,19.9,16.2,20.2,17.2,19.0,11.9,10.9,12.3,10.0,11.3,9.0,5.4,5.2,1.1,1.1,5.7,0.7,-0.4,1.3,2.1,0.5,4.6,3.3,2.7,3.5,1.7,1.5,0.5,-0.6,-0.5,0.2,0.8,0.8,-0.6,1.5,4.4,4.2,3.1,2.7,2.0,2.1,2.1,2.0,2.0
